index,english_name,hindi_name,english_one_line,hindi_one_line
267,Sthaviraaya,स्थविराय,"Salutations To The one who is ancient, venerable, and eternal.","जो प्राचीन, पूजनीय और शाश्वत हैं, उन्हें नमन।"
268,Trilokeshaaya,त्रिलोकेशाय,Salutations To The one who is the supreme ruler and lord of all three worlds.,तीनों लोकों के सर्वोच्च शासक और स्वामी को नमन।
269,Trilokaatmane,त्रिलोकात्मने,Salutations To The one who is the very soul and inner self of the three worlds.,तीनों लोकों के अंतरात्मा और सार स्वरूप को नमन।
270,Trishuuline,त्रिशूलिने,"Salutations To The one who wields the mighty trident (trishula), representing the three gunas.",तीनों गुणों का प्रतिनिधित्व करने वाले शक्तिशाली त्रिशूल धारण करने वाले को नमन।
271,Tridishaadhipaaya,त्रिदिशाधिपाय,Salutations To The one who is the sovereign lord of the three directions.,तीनों दिशाओं के सार्वभौम स्वामी को नमन।
272,Trilocanaaya,त्रिलोचनाय,"Salutations To The one who possesses three eyes, representing the sun, moon, and fire.","सूर्य, चंद्रमा और अग्नि का प्रतिनिधित्व करने वाली तीन आँखों वाले को नमन।"
273,Trayiivedyaaya,त्रयीवेद्याय,"Salutations To The one who is the ultimate object of knowledge, known through the three Vedas.",तीनों वेदों के माध्यम से जाने जाने वाले ज्ञान के परम विषय को नमन।
274,Trirvacah sthaaya,त्रिरवचः स्थाय,"Salutations To The one who is established in the three sacred utterances (Bhur, Bhuvah, Svah).","तीनों पवित्र उच्चारों (भूर, भुवः, स्वः) में प्रतिष्ठित रहने वाले को नमन।"
275,Trivargadaaya,त्रिवर्गदाय,"Salutations To The one who is the bestower of the three aims of life (dharma, artha, kama).","जीवन के तीनों लक्ष्यों (धर्म, अर्थ, काम) को प्रदान करने वाले (भैरव) को नमन।"
276,Duuraaya,दूराय,"Salutations To The one who is distant and far away, beyond the reach of the senses.","जो दूर और परे हैं, इन्द्रियों की पहुँच से परे हैं, उनको नमन।"
277,Vaadasthaanaghnaaya,वादस्थानघ्नाय,Salutations To The one who destroys all places of dispute and argumentation.,सभी विवादों और तर्कों के स्थानों को नष्ट करने वाले को नमन।
278,Durdashaaya,दुर्दशाय,Salutations To The one who brings about difficult or calamitous circumstances for the wicked.,दुष्टों के लिए कठिन या विपत्तिजनक परिस्थितियाँ उत्पन्न करने वाले को नमन।
279,Dussahodayaaya,दुस्सहॊदयाय,Salutations To The one whose appearance or rising is unbearable for his enemies.,"जिनके शत्रु उनके उदय या प्रकट होने को सहन नहीं कर सकते, उन्हें नमन।"
280,Paraaya,पराय,"Salutations To The one who is the supreme, the transcendent, and beyond everything.","जो परम, श्रेष्ठ और सबसे परे हैं, उन (कालभैरव) को नमन।"
281,Devaaya,देवाय,"Salutations To The one who is the divine, the shining one, the celestial being.","जो दिव्य, प्रकाशमान और स्वर्गीय सत्ता हैं, उनको नमन।"
282,Devadevaaya,देवदेवाय,"Salutations To The one who is the god of all gods, the supreme deity.","सभी देवताओं के देव, सर्वोच्च देवता को नमन।"
283,Dundubhaye,दुंदुभये,"Salutations To The one who is the celestial drum, whose sound is the cosmic vibration.","उन दिव्य ढोल को नमन, जिनकी ध्वनि ब्रह्मांडीय कंपन है।"
284,Dundubhipriyaaya,दुन्दुभिप्रियाय,Salutations To The one who is fond of the sound of the drum.,ढोल की ध्वनि प्रिय लगने वाले (भैरव) को नमन।
285,Dridhaayudhadhaarine,दृढायुधधारिणे,Salutations To The one who holds firm and mighty weapons.,दृढ़ और प्रबल शस्त्र धारण करने वाले को नमन।
286,Dhanadaaya,धनदाय,Salutations To The one who is the bestower of immense wealth and riches.,"जो अपार धन और संपत्ति प्रदान करते हैं, उनको नमन।"
287,Dakshaaya,दक्षाय,"Salutations To The one who is supremely skillful, expert, and competent in all actions.","सभी कार्यों में अत्यंत निपुण, कुशल और सक्षम होने वाले को नमन।"
288,Duhsvapnanaashanaaya,दुःस्वप्ननाशनाय,Salutations To The one who is the ultimate destroyer of all bad dreams and nightmares.,सभी बुरे सपनों और दुःस्वप्नों का अंतिम नाश करने वाले को नमन।
289,Durneyaaya,दुर्ज्ञेयाय,Salutations To The one who is difficult to know or to ascertain.,"जिन्हें जानना या निश्चित करना कठिन हो, उन परमेश्वर को नमन।"
290,Durgamaaya,दुर्गमाय,Salutations To The one who is impassable and extremely difficult to approach or attain.,अगम्य और प्राप्त करने में अत्यंत कठिन (दुर्गम) को नमन।
291,Durgaaya,दुर्गाय,"Salutations To The one who is the unassailable fortress, providing absolute protection.","जो अभेद्य दुर्ग के समान परम सुरक्षा प्रदान करते हैं, उनको नमन।"
292,Duraavaasaaya,दुरावासाय,Salutations To The one who is difficult to contain or to find a dwelling for.,"जिन्हें धारण करना या जिनके लिए निवास ढूंढना कठिन है, उन्हें नमन।"
293,Duraasadaaya,दुरासदाय,Salutations To The one who is invincible and whom no enemy can ever assail.,उन अविजेय को नमन जिन पर कोई शत्रु कभी आक्रमण नहीं कर सकता।
294,Damaaya,दमाय,Salutations To The one who is the embodiment of self-control and restraint.,आत्म-नियंत्रण और संयम के अवतार को नमन।
295,Damayitre,दमयित्रे,Salutations To The one who is the great subduer and tamer of all beings.,सभी प्राणियों को वश में करने वाले और नियंत्रित करने वाले महान प्रभु को नमन।
296,Daantaaya,दान्ताय,"Salutations To The one who is perfectly self-restrained, calm, and subdued.","जो पूर्णतः आत्मसंयमी, शांत और विनीत हैं, उनको नमन।"
297,Daatre,दात्रे,Salutations To The one who is the most generous giver and donor.,"जो सबसे उदार दाता और दानी हैं, उन्हें नमन।"
298,Daanaaya,दानाय,Salutations To The one who is the very embodiment of charity and selfless giving.,दान और निस्वार्थ भाव से देने के साक्षात स्वरूप को नमन।
299,Dayaakaraaya,दयाकराय,Salutations To The one who is the source of all compassion and mercy.,उन दयालु को नमन जो सभी करुणा और दया के स्रोत हैं।
300,Durvaasase,दुर्वाससे,"Salutations To The one who is the great sage Durvasa, known for his fiery temper.","दुर्वासा ऋषि को नमन, जो अपने तीव्र क्रोध के लिए विख्यात हैं।"
301,Dvijaaya,द्विजाय,"Salutations To The one who is 'twice-born,' representing a spiritual rebirth and initiation.",आध्यात्मिक पुनर्जन्म और दीक्षा का प्रतिनिधित्व करने वाले 'द्विज' को नमन।
302,Devakaayaaya,देवकायाय,Salutations To The one whose body is composed of the essence of all gods.,सभी देवताओं के सार से बनी देह वाले प्रभु को नमन।
303,Durniktaaya,दुर्नीक्ताय,Salutations To The one who is difficult to blame or find fault with.,"जिनकी आलोचना या दोष निकालना कठिन हो, उन्हें नमन।"
304,Durbhagodayaaya,दुर्भागोदयाय,Salutations To The one whose rise brings misfortune Salutations To The  wicked.,"जिनके उदय से दुर्भाग्य आता है, उन दुष्टों को नमन।"
305,Dehine,देहिने,Salutations To The one who possesses a physical body and dwells within all beings.,"जो एक भौतिक शरीर धारण करते हैं और सभी प्राणियों के भीतर निवास करते हैं, उन्हें नमन।"
306,Daahaaya,दाहाय,Salutations To The one who is the great fire that burns and consumes all things.,उन महान अग्नि स्वरूप को नमन जो सभी चीजों को जलाते और भस्म करते हैं।
307,Daanavaaraye,दानवारये,Salutations To The one who is the supreme enemy of the demons (Danavas).,दानवों के परम शत्रु को नमन।
308,Devendraaya,देवेन्द्राय,"Salutations To The one who is the divine king of all the celestial gods, like Indra.",इन्द्र जैसे सभी दिव्य देवताओं के राजा को नमन।
309,Arimardanaaya,अरिमर्दनाय,Salutations To The one who is the merciless crusher and destroyer of all enemies.,सभी शत्रुओं का निर्दयी रूप से कुचलने वाले और नष्ट करने वाले को नमन।
310,Devaasuragurave,देवासुरगुरवे,Salutations To The one who is the spiritual preceptor (guru) to both the gods and the demons.,देवताओं और असुरों दोनों के आध्यात्मिक गुरु (मार्गदर्शक) को नमन।
311,Devaaya,देवाय,Salutations To The one who is the divine and radiant celestial being.,"जो दिव्य और तेजस्वी स्वर्गीय प्राणी हैं, उन्हें नमन।"
312,Devaasuranamaskritaaya,देवासुरनमस्कृताय,Salutations To The one who is revered and bowed to by both gods and demons alike.,"उन प्रभु को नमन, जिनकी पूजा देव और असुर दोनों एक समान करते हैं।"
313,Devaasureshvaraaya,देवासुरेश्वराय,Salutations To The one who is the supreme lord of both the gods and the demons.,देवताओं और असुरों दोनों के सर्वोच्च स्वामी को नमन।
314,Divyaaya,दिव्याय,"Salutations To The one who is divine, celestial, heavenly, and wonderful.","जो दिव्य, स्वर्गीय, आकाशीय और अद्भुत हैं, उन्हें नमन।"
315,Devaasura maheshvaraaya,देवासुर महेश्वराय,Salutations To The one who is the great and supreme lord of both gods and demons.,देवताओं और असुरों दोनों के महान और सर्वोच्च स्वामी को नमन।
316,Sarvadevamayaaya,सर्वदेवमयाय,Salutations To The one who is the embodiment of all gods and contains all deities within himself.,"जो सभी देवताओं के मूर्त रूप हैं और अपने भीतर सभी देवी-देवताओं को समाहित करते हैं, उनको नमन।"
317,Dandaaya,दण्डाय,Salutations To The one who is the ultimate rod of punishment for all wrongdoing.,सभी दुष्कर्मों के लिए परम दण्ड देने वाले को नमन।
318,Nakshatraaya,नक्षत्राय,Salutations To The one who is the stars and the constellations themselves.,"जो स्वयं तारे और नक्षत्र हैं, उन्हें नमन।"
319,Aksharaaya,अक्षराय,"Salutations To The one who is imperishable, indestructible, and the eternal syllable (Aum).","जो अविनाशी, अक्षम और शाश्वत अक्षर (ओउम्) हैं, उनको नमन।"
320,Nakshatramaalikaakeshaaya,नक्षत्रमालिकाकेशाय,Salutations To The one whose hair is adorned with a garland of stars.,"जिनके केश नक्षत्रों की माला से सुशोभित हैं, उन्हें नमन।"
321,Naagahaaraaya,नागहाराय,Salutations To The one who wears a serpent as his beautiful necklace.,उन्हें प्रणाम जो सुंदर हार के रूप में सर्प धारण करते हैं।
322,Pinaakadhrite,पिनाकधृते,Salutations To The one who holds the mighty bow named Pinaka.,पिनाक नामक धनुष धारण करने वाले को नमन।
323,Vyayanirvahanaaya,व्ययननिर्वाहणाय,Salutations To The one who manages and oversees all cosmic expenditure.,समस्त लौकिक व्यय का प्रबंधन और निरीक्षण करने वाले को नमन।
324,Nyaayine,न्यायिने,Salutations To The one who is the very embodiment of justice and logical reasoning.,न्याय और तार्किक तर्क के साक्षात् स्वरूप को नमन।
325,Nabhase,नभसे,"Salutations To The one who is the vast, ethereal sky and space.","जो विशाल, सूक्ष्म आकाश और अंतरिक्ष के स्वरूप हैं, उन्हें नमन।"
326,Nyaayaaya,न्यायाय,"Salutations To The one who is the ultimate principle of justice, law, and righteousness.","न्याय, विधि और धर्म के परम सिद्धांत स्वरूप को नमन।"
327,Niranjanaaya,निरंजनाय,"Salutations To The one who is completely stainless, pure, and without any blemish.","जो पूर्णतः निष्कलंक, शुद्ध और दोष रहित हैं, उनको नमन।"
328,Niiraavanaaya,नीरावनाय,"Salutations To The one who is like a dense, protective forest.","जो एक घने, रक्षात्मक वन के समान हैं, उन्हें नमन।"
329,Ativijnaanaaya,अतिविज्ञानाय,Salutations To The one who possesses supreme and transcendent knowledge.,"जो सर्वोच्च और उत्कृष्ट ज्ञान के स्वामी हैं, उन्हें नमन।"
330,Narasimhanipaatanaaya,नरसिंहनिपातनाय,"Salutations To The one who brought about the fall of the fierce man-lion incarnation, Narasimha.",नरसिंह के भीषण मानव-सिंह अवतार को पतन की ओर ले जाने वाले (कालभैरव) को नमन।
331,Nandine,नन्दिने,"Salutations To The one who is full of joy and delight, and is the sacred bull, Nandi.","जो आनंद और प्रसन्नता से परिपूर्ण हैं, और जो पवित्र बैल नंदी के स्वरूप हैं, उन्हें नमन।"
332,Nandiishvaraaya,नन्दीश्वराय,Salutations To The one who is the supreme lord and master of Nandi.,नंदी के सर्वोच्च स्वामी और प्रभु को नमन।
333,Nagnaaya,नग्नाय,"Salutations To The one who is naked, stripped of all worldly illusions and coverings.","जो सभी सांसारिक माया और आवरणों से रहित, नग्न हैं, उन्हें नमन।"
334,Nagnavratadharaaya,नग्नव्रतधाराय,"Salutations To The one who has undertaken the sacred vow of nakedness, symbolizing utter detachment.","जिन्होंने पूर्ण वैराग्य का प्रतीक नग्नता का पवित्र व्रत धारण किया है, उन्हें नमन।"
335,Naraaya,नराय,"Salutations To The one who is the primordial, cosmic man or the eternal spirit.","आदिम, ब्रह्मांडीय पुरुष या शाश्वत आत्मा के स्वरूप को नमन।"
336,Nirmamaaya,निर्ममाय,Salutations To The one who is completely free from the sense of 'mine' and all possessiveness.,उन भगवान् को नमन जो 'मेरा' के भाव और सभी स्वामित्व से पूर्णतः मुक्त हैं।
337,Nirahangkaaraaya,निरहंकाराय,Salutations To The one who is utterly devoid of ego and the sense of 'I'.,अहंकार और 'मैं' की भावना से पूर्णतः रहित (भगवान कालभैरव) को नमन।
338,Nirmohaaya,निर्मोहाय,Salutations To The one who is entirely free from all delusion and attachment.,"जो सभी मोह और आसक्ति से पूर्णतः मुक्त हैं, उनको नमन।"
339,Nirupadravaaya,निरुपद्रवाय,"Salutations To The one who is free from all trouble, affliction, and calamity.","जो सभी परेशानियों, कष्टों और आपदाओं से मुक्त हैं, उन्हें नमन।"
340,Nishkantakaaya,निष्कण्टकाय,Salutations To The one who is without any thorns or obstacles.,जो कांटों या बाधाओं से रहित हैं उनको नमन।
341,Kritaanandaaya,कृतानंदाय,Salutations To The one who has created and experiences divine bliss.,दिव्य आनंद का सृजन करने वाले और उसका अनुभव करने वाले को नमन।
342,Nirdhyaatavyaaya,निर्ध्यायाय,"Salutations To The one who is beyond all meditation, yet is the goal of meditation.","उन परम सत्ता को नमन जो सभी ध्यान से परे हैं, फिर भी ध्यान का अंतिम लक्ष्य हैं।"
343,Janaardanaaya,जनार्दनाय,"Salutations To The one who is the liberator of all people, the object of their adoration.","जो सभी लोगों के मुक्तिदाता और उनकी आराधना के पात्र हैं, उनको नमन।"
344,Anaghaaya,अनघाय,"Salutations To The one who is completely sinless, faultless, and pure.","जो पूर्णतः निष्पाप, निर्दोष और शुद्ध हैं, उन्हें नमन।"
345,Nishkalaaya,निष्कलाय,"Salutations To The one who is indivisible, whole, and without any parts.","जो अविभाज्य, पूर्ण और बिना किसी भाग के हैं, उन्हें नमन।"
346,Nishthaaya,निष्ठाय,Salutations To The one who is the embodiment of firm devotion and the ultimate state of being.,दृढ़ भक्ति और परम अस्तित्व के स्वरूप को नमन।
347,Niilakaayaaya,नीलकायाय,"Salutations To The one who has a body of a beautiful, dark-blue hue.","जिनके शरीर का रंग सुंदर, गहरा नीला है, उन्हें नमन।"
348,Niraamayaaya,निरामयाय,Salutations To The one who is completely free from all disease and ailments.,सभी रोगों और व्याधियों से पूर्णतः मुक्त रहने वाले को नमन।
349,Aniruddhaaya,अनिरुद्धाय,"Salutations To The one who is unobstructed, unstoppable, and can never be confined.","जो अबाधित हैं, अजेय हैं, और जिसे कभी सीमित नहीं किया जा सकता, उन (भगवान) को नमन।"
350,Anaadyantaaya,अनाद्यंताय,Salutations To The one who is without any beginning (anadi) or any end (anta).,"जिनका न कोई आदि, न कोई अंत है, उन (कालभैरव) को नमन।"
351,Naikaatmane,नैकात्मने,"Salutations To The one who is not a single self, but manifests as innumerable souls.","जो एक आत्मा नहीं, बल्कि असंख्य आत्माओं के रूप में प्रकट होते हैं, उन्हें नमन।"
352,Naikakarmakrite,नैकाकर्मकृते,Salutations To The one who is the performer of countless and varied actions.,असंख्य और विविध कर्मों के कर्ता को नमन।
353,Nagaretase,नागरेतसे,"Salutations To The one whose seed is the mountains, or who resides in the city of Kashi.","जिनके बीज पर्वत हैं, या जो काशी नगरी में निवास करते हैं, उनको नमन।"
354,Nakhine,नखिने,Salutations To The one who is endowed with sharp claws or nails.,तीखे पंजों अथवा नखों से युक्त (कालभैरव) को नमन।
355,Nandine,नन्दीने,Salutations To The one who brings joy and is the sacred bull Nandi.,"जो आनंद लाते हैं और पवित्र बैल नंदी हैं, उन्हें नमन।"
356,Aanandavanavardhanaaya,आनंदवनवर्धनाय,Salutations To The one who increases the bliss of the forest of liberation (Kashi).,आनंदवन (काशी) के आनंद को बढ़ाने वाले (भगवान कालभैरव) को नमन।
357,Yogaaya,योगाय,Salutations To The one who is the very embodiment of divine union and spiritual discipline.,दिव्य मिलन और आध्यात्मिक अनुशासन के साक्षात् स्वरूप को नमन।
358,Viraagine,विरागीने,Salutations To The one who is completely dispassionate and free from all attachments.,"जो पूर्णतः वैरागी और समस्त आसक्तियों से मुक्त हैं, उन्हें नमन।"
359,Vairaagine,वैरागिने,"Salutations To The one who is the supreme ascetic, filled with profound renunciation.","परम वैरागी, गहन वैराग्य से परिपूर्ण (कालभैरव) को नमन।"
360,Tyaagine,त्यागिने,"Salutations To The one who is the ultimate renunciant, having given up everything.","उन परम त्यागी को नमन, जिन्होंने सब कुछ त्याग दिया है।"
361,Gauriivaraangganaaya,गौरीवरंगणाय,Salutations To The one who has the beautiful Gauri (Parvati) as his beloved consort.,उन शिव को नमन जिनकी प्रिय पत्नी सुंदर गौरी (पार्वती) हैं।
362,Kambukanthaaya,कम्बुकण्ठाय,"Salutations To The one who has a beautiful, shell-shaped neck with three lines.","शंख के आकार की सुंदर गर्दन वाले को नमन, जिसमें तीन रेखाएँ हैं।"
363,Grihasthaaya,गृहस्थाय,"Salutations To The one who is the perfect householder, living in the world yet detached.","जो संसार में रहते हुए भी अनासक्त हैं, ऐसे आदर्श गृहस्थ को नमन।"
364,Ugraaya,उग्राय,"Salutations To The one who is fearsome, ferocious, and terrible to his enemies.","शत्रुओं के लिए भयंकर, क्रूर और भयानक स्वरूप वाले को नमन।"
365,Candaaya,चण्डाय,"Salutations To The one who is fierce, passionate, and wrathful towards evil.","जो उग्र, उत्साही और दुष्टता के प्रति क्रोधी हैं, उन्हें नमन।"
366,Akhandabhrite,अखण्डभृते,"Salutations To The one who upholds the entire, unbroken cosmos.","सम्पूर्ण, अखंड ब्रह्मांड को धारण करने वाले (ईश्वर) को नमन।"
367,Antakaaya,अन्तकाय,Salutations To The one who is the ultimate bringer of death and the end of all things.,मृत्यु और सभी वस्तुओं के अंत के परम वाहक को नमन।
368,Taandavaadambararucaye,ताण्डवाडम्बररुचये,Salutations To The one who delights in the cosmic dance of creation and destruction (Tandava).,सृष्टि और विनाश के ब्रह्मांडीय नृत्य (तांडव) में आनंद लेने वाले को नमन।
369,Rurumandalamanditaaya,रुरुमण्डलमण्डिताय,Salutations To The one who is adorned with a circle of fierce Ruru demons or deerskins.,भयंकर रुरु राक्षसों के घेरे या मृगचर्म से सुशोभित होने वाले (कालभैरव) को नमन।
370,Parameshvaraaya,परमेश्वराय,"Salutations To The one who is the supreme, ultimate, and transcendent Lord.","परम, सर्वोच्च और श्रेष्ठ भगवान को नमन।"
371,Pashupataye,पशुपतये,Salutations To The one who is the divine lord and master of all living beings (pashus).,सभी जीवों (पशुओं) के दिव्य स्वामी और प्रभु को नमन।
372,Pinaakine,पिनाकिने,Salutations To The one who wields the mighty celestial bow known as Pinaka.,महान दिव्य धनुष पिनाक धारण करने वाले को नमन।
373,Purashaasanaaya,पुरशासनाय,Salutations To The one who is the great ruler and chastiser of the three celestial cities (Tripura).,तीनों लोकों (त्रिपुर) के महान शासक और दण्डनायक को नमन।
374,Puraatsuutaaya,पुरास्तुताय,Salutations To The one who is praised and celebrated in the ancient Puranas.,पुराणों में प्रशंसित और सम्मानित किए गए (भगवान कालभैरव) को नमन।
375,Devakiiraaya,देवकीराय,Salutations To The one who is the divine creator of all the gods.,सभी देवताओं के दिव्य निर्माता को नमन।
376,Parameshthine,परमेष्ठिने,Salutations To The one who is established in the highest and most supreme position.,"जो सर्वोच्च और परम पद पर प्रतिष्ठित हैं, उनको नमन।"
377,Paraayanaaya,परायणाय,Salutations To The one who is the ultimate and final refuge for all souls.,सभी आत्माओं के लिए परम और अंतिम आश्रय को नमन।
378,Pancavimshatitatvasthaaya,पञ्चविंशतितत्त्वस्थाय,Salutations To The one who resides in the twenty-five fundamental principles (tattvas) of creation.,सृष्टि के पच्चीस मौलिक सिद्धांतों (तत्त्वों) में निवास करने वाले को नमन।
379,Pancajantave,पञ्चजन्तवे,Salutations To The one who is the five great elements that constitute all beings.,उन पंच महाभूतों को नमन जो सभी प्राणियों की रचना करते हैं।
380,Prabhanjanaaya,प्रभंजनाय,"Salutations To The one who is the great, shattering storm that destroys all obstacles.","उन प्रभु को नमन जो सभी बाधाओं को नष्ट करने वाले एक महान, भयंकर तूफान हैं।"
381,Maskarine,मस्करिणे,Salutations To The one who is a wandering ascetic holding a bamboo staff (maskara).,बांस का डंडा धारण करने वाले भटकते हुए संन्यासी को नमन।
382,Parabrahmane,परब्रह्मणे,"Salutations To The one who is the supreme, transcendent, absolute reality, the Parabrahman.","परम, उत्कृष्ट, निरपेक्ष सत्य, परब्रह्म स्वरूप को नमन।"
383,Paarijaataaya,पारिजाताय,"Salutations To The one who is the celestial, wish-fulfilling Parijata tree.","पारिजात वृक्ष स्वरूप,Celestial, इच्छा-पूर्ति करने वाले को नमन।"
384,Paraatparaaya,परात्पराय,"Salutations To The one who is beyond the beyond, higher than the highest.","जो पर से भी परे हैं, सर्वोच्च से भी ऊँचे हैं, उन (कालभैरव) को नमन।"
385,Pratishthitaaya,प्रतिष्ठिताय,Salutations To The one who is firmly established and the foundation of all existence.,"जो दृढ़ता से स्थापित हैं और समस्त अस्तित्व के आधार हैं, उन्हें नमन।"
386,Pramaanajnaaya,प्रमाणज्ञाय,Salutations To The one who is the ultimate knower of all valid means of knowledge (pramanas).,सभी वैध ज्ञान साधनों (प्रमाणों) के परम ज्ञाता को नमन।
387,Pramaanaaya,प्रमाणाय,Salutations To The one who is the ultimate authority and the standard of all proof.,"जो परम सत्ता और सभी प्रमाणों का मापदंड है, उन्हें नमन।"
388,Paramaarthadaaya,परमार्थदाय,Salutations To The one who is the bestower of the highest and ultimate truth.,परम और अंतिम सत्य प्रदान करने वाले को नमन।
389,Pancabrahmane,पञ्चब्रह्मणे,"Salutations To The one who is the five-faced Brahman, representing the five cosmic functions.",पाँच मुख वाले ब्रह्मा के रूप में पाँच ब्रह्मांडीय कार्यों का प्रतिनिधित्व करने वाले को नमन।
390,Satpataye,सत्पतये,Salutations To The one who is the lord and protector of the virtuous and the good.,पुण्यात्माओं और सज्जनों के स्वामी और संरक्षक को नमन।
391,Paramaatmane,परमात्मने,"Salutations To The one who is the supreme, universal self, the Paramatma.","जो परम, सार्वभौमिक आत्मा, परमात्मा हैं, उन्हें नमन।"
392,Paraayanaaya,परायणाय,Salutations To The one who is the supreme goal and the ultimate sanctuary.,"जो परम लक्ष्य और अंतिम आश्रय हैं, उन्हें नमन।"
393,Pinaakapaanaye,पिनाकपाणये,Salutations To The one who holds the great bow Pinaka in his hand.,पिनाक नामक महान धनुष को अपने हाथ में धारण करने वाले (भगवान) को नमन।
394,Praamshave,प्राम्शवे,"Salutations To The one who is of a tall, lofty, and imposing stature.","जो ऊँचे, भव्य और प्रभावशाली कद के हैं, उन्हें नमन।"
395,Pratyayaaya,प्रत्ययाय,"Salutations To The one who is the embodiment of firm faith, conviction, and trust.","जो दृढ़ विश्वास, दृढ़ आस्था और भरोसे के प्रतीक हैं, उनको नमन।"
396,Paraviiraghne,परवीरघ्ने,Salutations To The one who is the valiant slayer of enemy heroes.,उन वीर शत्रुओं का वध करने वाले को नमन।
397,Prabhaakaraaya,प्रभाकराय,"Salutations To The one who is the radiant source of all light, like the sun.","सभी प्रकाश का तेजस्वी स्रोत, सूर्य के समान स्वरूप को नमन।"
398,Pratyakshaaya,प्रत्यक्षाय,Salutations To The one who is directly perceptible and visible to his devotees.,अपने भक्तों को प्रत्यक्ष और दृश्‍यमान होने वाले (कालभैरव) को नमन।
399,Pranavaaya,प्रणवाय,"Salutations To The one who is the sacred, primordial sound of the cosmos, 'Aum'.","ब्रह्मांड की पवित्र, आदिम ध्वनि 'ॐ' को नमन।"
400,Puranjayaaya,पुरंजयाय,Salutations To The one who is the great conqueror of all cities and fortresses.,सभी नगरों और किलों को जीतने वाले महान विजेता को नमन।
401,Pavitrapaanaye,पवित्रपाणये,Salutations To The one whose hands are supremely pure and sanctifying.,"जिनके हाथ अत्यंत पवित्र और शुद्ध करने वाले हैं, उनको नमन।"
402,Paapaaraye,पापाराये,Salutations To The one who is the ultimate enemy of all sin and wickedness.,सभी पापों और दुष्कर्मों के परम शत्रु (संहारकर्ता) को नमन।
403,Pratyayaacirshe,प्रत्यायाचिरशे,Salutations To The one who is the pinnacle and crown of all faith.,श्रद्धा के शिखर और मुकुट स्वरूप को नमन।
404,Apaam nidhaye,अपाम निधये,Salutations To The one who is the great treasure-house and receptacle of all waters.,सभी जलों के महान कोषागार और आधार को नमन।
405,Pulastyaaya,पुलस्त्याय,"Salutations To The one who is the great, ancient sage Pulastya.","महान, प्राचीन ऋषि पुलस्त्य के स्वरूप को नमन।"
406,Pulahaaya,पुलहाय,"Salutations To The one who is the great sage Pulaha, one of the creators of mankind.","जो महर्षि पुलह हैं, जो मानवता के रचनाकारों में से एक हैं, उन्हें नमन।"
407,Agastyaaya,अगस्त्याय,Salutations To The one who is the revered and powerful sage Agastya.,पूजनीय और शक्तिशाली ऋषि अगस्त्य स्वरूप को नमन।
408,Puruhuutaaya,पुरुषूताय,Salutations To The one who is invoked and called upon by many.,"जिनको अनेकों द्वारा आवाहन और आह्वान किया जाता है, उनको नमन।"
409,Purushtutaaya,पुरुषस्तुताय,Salutations To The one who is praised and extolled by many devotees.,अनेक भक्तों द्वारा प्रशंसा और स्तुति किए जाने वाले प्रभु को नमन।
410,Padmaakaraaya,पद्माकराया,"Salutations To The one who is the source of all lotuses, or whose hands are like lotuses.","उन को नमन जो सभी कमलों के स्रोत हैं, अथवा जिनके हाथ कमलों के समान हैं।"
411,Parasmaijyotishe,परस्मैज्योतिषे,"Salutations To The one who is the supreme, transcendent, and ultimate light.","परम, श्रेष्ठ, और अंतिम प्रकाश स्वरूप को नमन।"
412,Paraaparaphalapradaaya,परापरफलप्रदाय,Salutations To The one who bestows the fruits of both higher and lower actions.,उच्च और निम्न दोनों तरह के कर्मों के फल प्रदान करने वाले को नमन।
413,Paraavarajnaaya,परावरज्ञाय,Salutations To The one who knows both the supreme (para) and the manifest (avara).,परम (पर) और व्यक्त (अवर) दोनों को जानने वाले (परमेश्वर) को नमन।
414,Paradaaya,परदाय,Salutations To The one who bestows the ultimate liberation or the highest state.,परम मुक्ति या सर्वोच्च अवस्था प्रदान करने वाले को नमन।
415,Parashatrave,परशत्रवे,Salutations To The one who is a formidable enemy to all opposing forces.,सभी विरोधी शक्तियों के लिए दुर्जेय शत्रु को नमन।
416,Parasmaipadaaya,परस्मैपदाय,"Salutations To The one who is the supreme word, the ultimate state.","उस परम वचन, परम अवस्था स्वरूप को नमन।"
417,Puurnaaya,पूर्णाय,"Salutations To The one who is complete, full, whole, and perfect.","जो पूर्ण, संपूर्ण और परिपूर्ण हैं, उन्हें नमन।"
418,Puurayitre,पूरयित्रे,Salutations To The one who fulfills all desires and completes all things.,सभी इच्छाओं को पूर्ण करने वाले और सभी कार्यों को संपन्न करने वाले को नमन।
419,Punyaaya,पुण्याय,"Salutations To The one who is the very embodiment of merit, virtue, and sacredness.","पुण्य, नैतिकता और पवित्रता के सगुण स्वरूप को नमन।"
420,Punyashravanakiirtanaaya,पुण्यश्रवणकीर्तनाय,Salutations To The one whose glory is meritorious to hear and chant.,"जिनके यश और कीर्ति को सुनना और जपना पुण्यकारक है, ऐसे प्रभु को नमन।"
421,Purandaraaya,पुरंदराय,"Salutations To The one who is the destroyer of enemy cities, like Indra.",शत्रुओं के नगरों का नाश करने वाले (इंद्र के समान) को नमन।
422,Punyakiirtaye,पुण्यकीर्तये,Salutations To The one whose fame and glory are supremely pure and sacred.,"जिनकी कीर्ति और महिमा परम पावन एवं पवित्र है, उन्हें नमन।"
